time,sim_low95,sim_median,sim_up95
4,0.0,0.0,1.0
11,0.0,0.0,1.0
18,0.0,0.0,1.0
25,0.0,0.0,1.0
32,0.0,0.0,1.0
39,0.0,0.0,1.0
46,0.0,0.0,1.0
53,0.0,0.0,1.0
60,0.0,0.0,1.0
67,0.0,0.0,1.0
74,0.0,0.0,1.0
81,0.0,0.0,1.0
88,0.0,0.0,1.0
95,0.0,0.0,1.0
102,0.0,0.0,1.0
109,0.0,0.0,1.0
116,0.0,0.0,2.0
123,0.0,0.0,2.0
130,0.0,0.0,3.0
137,0.0,1.0,4.0
144,0.0,1.0,5.0
151,0.0,3.0,6.0
158,1.0,4.0,9.0
165,2.0,7.0,13.0
172,5.0,11.0,19.0
179,8.0,16.0,27.0
186,12.0,21.5,34.0
193,15.0,26.0,39.0
200,16.0,27.0,41.0
207,15.0,27.0,42.0
214,15.0,26.0,40.0
221,13.0,24.0,37.0
228,12.0,22.0,34.0
235,10.0,20.0,31.0
242,8.0,17.0,27.0
249,7.0,14.0,24.0
256,5.0,12.0,20.0
263,4.0,9.0,17.0
270,2.0,7.0,14.0
277,1.0,6.0,11.0
284,1.0,4.0,9.0
291,0.0,3.0,7.0
298,0.0,2.0,6.0
305,0.0,2.0,5.0
312,0.0,1.0,4.0
319,0.0,1.0,4.0
326,0.0,1.0,3.0
333,0.0,0.0,3.0
340,0.0,0.0,2.0
347,0.0,0.0,2.0
354,0.0,0.0,2.0
361,0.0,0.0,2.0
368,0.0,0.0,1.0
375,0.0,0.0,1.0
382,0.0,0.0,1.0
389,0.0,0.0,1.0
396,0.0,0.0,1.0
403,0.0,0.0,1.0
410,0.0,0.0,1.0
417,0.0,0.0,1.0
424,0.0,0.0,1.0
431,0.0,0.0,1.0
438,0.0,0.0,1.0
445,0.0,0.0,1.0
452,0.0,0.0,1.0
459,0.0,0.0,1.0
466,0.0,0.0,1.0
473,0.0,0.0,1.0
480,0.0,0.0,2.0
487,0.0,0.0,2.0
494,0.0,0.0,3.0
501,0.0,1.0,3.0
508,0.0,1.0,4.0
515,0.0,2.0,6.0
522,1.0,4.0,9.0
529,2.0,7.0,13.0
536,4.0,10.0,18.0
543,7.0,15.0,26.0
550,11.0,21.0,33.0
557,14.0,25.0,39.0
564,16.0,27.0,42.0
571,15.0,27.0,42.0
578,15.0,26.0,40.0
585,14.0,25.0,38.0
592,12.0,23.0,34.0
599,11.0,20.0,32.0
606,9.0,17.0,28.0
613,7.0,15.0,24.0
620,5.0,12.0,20.0
627,4.0,9.0,17.0
634,3.0,7.0,14.0
641,2.0,6.0,11.0
648,1.0,4.0,9.0
655,0.0,3.0,8.0
662,0.0,2.0,6.0
669,0.0,2.0,5.0
676,0.0,1.0,4.0
683,0.0,1.0,4.0
690,0.0,1.0,3.0
697,0.0,1.0,3.0
704,0.0,0.0,2.0
711,0.0,0.0,2.0
718,0.0,0.0,2.0
725,0.0,0.0,2.0
732,0.0,0.0,1.0
739,0.0,0.0,1.0
746,0.0,0.0,1.0
753,0.0,0.0,1.0
760,0.0,0.0,1.0
767,0.0,0.0,1.0
774,0.0,0.0,1.0
781,0.0,0.0,1.0
788,0.0,0.0,1.0
795,0.0,0.0,1.0
802,0.0,0.0,1.0
809,0.0,0.0,1.0
816,0.0,0.0,1.0
823,0.0,0.0,1.0
830,0.0,0.0,1.0
837,0.0,0.0,1.0
844,0.0,0.0,2.0
851,0.0,0.0,2.0
858,0.0,0.0,3.0
865,0.0,1.0,3.0
872,0.0,1.0,4.0
879,0.0,2.0,6.0
886,0.0,4.0,8.0
893,2.0,6.0,12.0
900,4.0,10.0,17.0
907,7.0,15.0,24.0
914,11.0,20.0,32.0
921,14.0,25.0,38.0
928,16.0,27.0,41.0
935,16.0,27.0,41.0
942,15.0,26.0,40.0
949,14.0,25.0,38.02500000000009
956,12.0,23.0,36.0
963,11.0,20.0,32.0
970,9.0,18.0,29.0
977,7.0,15.0,25.0
984,5.0,12.0,21.0
991,4.0,10.0,17.0
998,3.0,8.0,14.0
1005,2.0,6.0,12.0
1012,1.0,5.0,10.0
1019,0.0,3.0,8.0
1026,0.0,3.0,7.0
1033,0.0,2.0,5.0
1040,0.0,1.0,5.0
1047,0.0,1.0,4.0
1054,0.0,1.0,3.0
1061,0.0,1.0,3.0
1068,0.0,0.0,2.0
1075,0.0,0.0,2.0
1082,0.0,0.0,2.0
1089,0.0,0.0,2.0
1096,0.0,0.0,1.0
1103,0.0,0.0,1.0
1110,0.0,0.0,1.0
1117,0.0,0.0,1.0
1124,0.0,0.0,1.0
1131,0.0,0.0,1.0
1138,0.0,0.0,1.0
1145,0.0,0.0,1.0
1152,0.0,0.0,1.0
1159,0.0,0.0,1.0
1166,0.0,0.0,1.0
1173,0.0,0.0,1.0
1180,0.0,0.0,1.0
1187,0.0,0.0,1.0
1194,0.0,0.0,1.0
1201,0.0,0.0,1.0
1208,0.0,0.0,2.0
1215,0.0,0.0,2.0
1222,0.0,0.0,3.0
1229,0.0,1.0,3.0
1236,0.0,1.0,4.0
1243,0.0,2.0,6.0
1250,0.0,3.0,8.0
1257,1.0,6.0,11.0
1264,3.0,9.0,16.0
1271,7.0,14.0,24.0
1278,10.0,19.0,31.0
1285,14.0,24.0,37.0
1292,16.0,27.0,41.0
1299,16.0,27.0,41.0
1306,15.0,26.0,40.0
1313,15.0,25.0,38.0
1320,13.0,23.0,36.0
1327,11.0,21.0,32.0
1334,9.0,18.0,29.0
1341,7.0,15.0,26.0
1348,6.0,13.0,21.0
1355,4.0,10.0,18.0
1362,3.0,8.0,15.0
1369,2.0,6.0,12.0
1376,1.0,5.0,10.0
1383,0.9749999999999943,4.0,8.0
1390,0.0,3.0,7.0
1397,0.0,2.0,6.0
1404,0.0,1.0,5.0
1411,0.0,1.0,4.0
1418,0.0,1.0,3.0
1425,0.0,1.0,3.0
1432,0.0,0.0,2.0
1439,0.0,0.0,2.0
1446,0.0,0.0,2.0
1453,0.0,0.0,2.0
1460,0.0,0.0,1.0
